"scenario_id","label_type","pattern_code","entity_source_id","window_start","window_end","expected_reason_code","note"
"CONTROL-CUST-000352","CONTROL_CLEAN","ALL","CUST-000352","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000356","CONTROL_CLEAN","ALL","CUST-000356","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000366","CONTROL_CLEAN","ALL","CUST-000366","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000375","CONTROL_CLEAN","ALL","CUST-000375","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000381","CONTROL_CLEAN","ALL","CUST-000381","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000393","CONTROL_CLEAN","ALL","CUST-000393","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000406","CONTROL_CLEAN","ALL","CUST-000406","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000425","CONTROL_CLEAN","ALL","CUST-000425","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"CONTROL-CUST-000450","CONTROL_CLEAN","ALL","CUST-000450","2026-04-01","2026-09-30","","Must raise zero alerts at approved default parameters (FRD §8.14)"
"P01-POS-0001","INJECTED_POSITIVE","P01","CUST-000207","2026-08-18","2026-08-18","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Single transfer far above the individual threshold band"
"P01-POS-0002","INJECTED_POSITIVE","P01","BUS-00008","2026-06-28","2026-06-28","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Single transfer far above the individual threshold band"
"P01-POS-0003","INJECTED_POSITIVE","P01","BUS-00001","2026-06-25","2026-06-25","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Single transfer far above the individual threshold band"
"P02-POS-0001","INJECTED_POSITIVE","P02","CUST-000148","2026-08-13","2026-08-19","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","5 deposits in band within a 7-day window"
"P02-POS-0002","INJECTED_POSITIVE","P02","CUST-000215","2026-06-05","2026-06-11","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","3 deposits in band within a 7-day window"
"P03-POS-0001","INJECTED_POSITIVE","P03","CUST-000138","2026-09-25","2026-09-25","P03_SAME-DAY_PASS-THROUGH","Funds in and substantially out again within the same day"
"P03-POS-0002","INJECTED_POSITIVE","P03","CUST-000009","2026-09-25","2026-09-25","P03_SAME-DAY_PASS-THROUGH","Funds in and substantially out again within the same day"
"P04-POS-0001","INJECTED_POSITIVE","P04","CUST-000351","2026-09-04","2026-09-07","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Transaction count far above the entity's own baseline"
"P04-POS-0002","INJECTED_POSITIVE","P04","CUST-000263","2026-07-22","2026-07-25","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Transaction count far above the entity's own baseline"
"P04-POS-0003","INJECTED_POSITIVE","P04","BUS-00060","2026-06-04","2026-06-07","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Transaction count far above the entity's own baseline"
"P05-POS-0001","INJECTED_POSITIVE","P05","CUST-000249","2026-04-10","2026-09-07","P05_DORMANT_ACCOUNT_REACTIVATION","150 dormant days, then a material credit"
"P05-POS-0002","INJECTED_POSITIVE","P05","CUST-000277","2026-04-26","2026-09-23","P05_DORMANT_ACCOUNT_REACTIVATION","150 dormant days, then a material credit"
"P06-POS-0001","INJECTED_POSITIVE","P06","CUST-000023","2026-08-09","2026-08-19","P06_UNIFORM_ROUND_AMOUNTS","Repeated identical round amount 250,000,000"
"P06-POS-0002","INJECTED_POSITIVE","P06","CUST-000117","2026-07-09","2026-07-19","P06_UNIFORM_ROUND_AMOUNTS","Repeated identical round amount 250,000,000"
"P07-POS-0001","INJECTED_POSITIVE","P07","CUST-000329","2026-06-03","2026-07-08","P07_STEPPED_WEEKLY_VALUE_INCREASE","Weekly value stepping up by 2-3x"
"P07-POS-0002","INJECTED_POSITIVE","P07","CUST-000278","2026-06-27","2026-08-01","P07_STEPPED_WEEKLY_VALUE_INCREASE","Weekly value stepping up by 2-3x"
"P08-POS-0001","INJECTED_POSITIVE","P08","CUST-000312","2026-07-12","2026-08-01","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Exposure concentrated on listed geography SC"
"P08-POS-0002","INJECTED_POSITIVE","P08","CUST-000017","2026-08-23","2026-09-12","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Exposure concentrated on listed geography BZ"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000410","2026-08-24","2026-09-07","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000181 shared by 4 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000125","2026-08-24","2026-09-07","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000181 shared by 4 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000454","2026-08-24","2026-09-07","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000181 shared by 4 unrelated entities"
"P09-POS-0001","INJECTED_POSITIVE","P09","CUST-000015","2026-08-24","2026-09-07","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000181 shared by 4 unrelated entities"
"P09-POS-0002","INJECTED_POSITIVE","P09","CUST-000100","2026-06-06","2026-06-20","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000481 shared by 4 unrelated entities"
"P09-POS-0002","INJECTED_POSITIVE","P09","CUST-000423","2026-06-06","2026-06-20","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000481 shared by 4 unrelated entities"
"P09-POS-0002","INJECTED_POSITIVE","P09","CUST-000215","2026-06-06","2026-06-20","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000481 shared by 4 unrelated entities"
"P09-POS-0002","INJECTED_POSITIVE","P09","CUST-000354","2026-06-06","2026-06-20","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Device DEV-000481 shared by 4 unrelated entities"
"P10-POS-0001","INJECTED_POSITIVE","P10","BUS-00049","2026-06-01","2026-06-26","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Ticket size inconsistent with MCC 5814"
"P10-POS-0002","INJECTED_POSITIVE","P10","BUS-00013","2026-07-31","2026-08-25","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Ticket size inconsistent with MCC 4816"
"P11-POS-0001","INJECTED_POSITIVE","P11","CUST-000409","2026-08-08","2026-08-13","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","12-to-1 convergence with device overlap"
"P11-POS-0002","INJECTED_POSITIVE","P11","CUST-000074","2026-09-12","2026-09-17","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","14-to-1 convergence with device overlap"
"P12-POS-0001","INJECTED_POSITIVE","P12","CUST-000018","2026-04-01","2026-09-30","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Name close to list record WL-00043 (PEP_SYNTHETIC)"
"P12-POS-0002","INJECTED_POSITIVE","P12","CUST-000332","2026-04-01","2026-09-30","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Name close to list record WL-00005 (PEP_SYNTHETIC)"
"P12-POS-0003","INJECTED_POSITIVE","P12","CUST-000150","2026-04-01","2026-09-30","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Name close to list record WL-00028 (PEP_SYNTHETIC)"
"P12-POS-0004","INJECTED_POSITIVE","P12","CUST-000065","2026-04-01","2026-09-30","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Name close to list record WL-00087 (PEP_SYNTHETIC)"
"P01-EDGE-0001","EDGE_CASE","P01","CUST-000434","2026-06-07","2026-06-25","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Legitimate look-alike for P01"
"P01-BOUND-0001","EDGE_CASE","P01","CUST-000304","2026-09-04","2026-09-11","P01_UNUSUALLY_LARGE_SINGLE_TRANSFER","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P02-EDGE-0001","EDGE_CASE","P02","CUST-000321","2026-06-22","2026-08-01","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","Arisan collector: in-band deposits, but always spread past the 7-day window"
"P02-BOUND-0001","EDGE_CASE","P02","CUST-000389","2026-06-09","2026-06-16","P02_STRUCTURING_BELOW_THE_REPORTING_THRESHOLD","Exactly at threshold (500,000,000) — must not fire at default parameters"
"P03-EDGE-0001","EDGE_CASE","P03","CUST-000374","2026-07-01","2026-07-19","P03_SAME-DAY_PASS-THROUGH","Legitimate look-alike for P03"
"P03-BOUND-0001","EDGE_CASE","P03","CUST-000271","2026-06-20","2026-06-27","P03_SAME-DAY_PASS-THROUGH","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P04-EDGE-0001","EDGE_CASE","P04","CUST-000287","2026-08-21","2026-08-27","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Payroll disburser on payday"
"P04-BOUND-0001","EDGE_CASE","P04","CUST-000030","2026-07-23","2026-07-30","P04_TRANSACTION_COUNT_SPIKE_AGAINST_BASELINE","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P05-EDGE-0001","EDGE_CASE","P05","CUST-000061","2026-08-12","2026-08-30","P05_DORMANT_ACCOUNT_REACTIVATION","Legitimate look-alike for P05"
"P05-BOUND-0001","EDGE_CASE","P05","CUST-000419","2026-08-24","2026-08-31","P05_DORMANT_ACCOUNT_REACTIVATION","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P06-EDGE-0001","EDGE_CASE","P06","BUS-00058","2026-06-29","2026-07-15","P06_UNIFORM_ROUND_AMOUNTS","Agent kiosk float top-ups in round amounts"
"P06-BOUND-0001","EDGE_CASE","P06","CUST-000422","2026-09-11","2026-09-18","P06_UNIFORM_ROUND_AMOUNTS","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P07-EDGE-0001","EDGE_CASE","P07","CUST-000031","2026-06-28","2026-07-16","P07_STEPPED_WEEKLY_VALUE_INCREASE","Legitimate look-alike for P07"
"P07-BOUND-0001","EDGE_CASE","P07","CUST-000163","2026-08-23","2026-08-30","P07_STEPPED_WEEKLY_VALUE_INCREASE","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P08-EDGE-0001","EDGE_CASE","P08","BUS-00052","2026-07-05","2026-09-27","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Cross-border student receiving family support"
"P08-BOUND-0001","EDGE_CASE","P08","BUS-00006","2026-07-12","2026-07-19","P08_CONCENTRATED_HIGH-RISK_GEOGRAPHY_EXPOSURE","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P09-EDGE-0001","EDGE_CASE","P09","CUST-000333","2026-07-10","2026-07-28","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Legitimate look-alike for P09"
"P09-BOUND-0001","EDGE_CASE","P09","CUST-000222","2026-07-09","2026-07-16","P09_DEVICE_SHARED_BY_UNRELATED_ENTITIES","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P10-EDGE-0001","EDGE_CASE","P10","BUS-00051","2026-07-07","2026-07-25","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Legitimate look-alike for P10"
"P10-BOUND-0001","EDGE_CASE","P10","CUST-000294","2026-07-17","2026-07-24","P10_MERCHANT_ACTIVITY_INCONSISTENT_WITH_ITS_MCC","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P11-EDGE-0001","EDGE_CASE","P11","CUST-000153","2026-08-17","2026-09-10","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","School fee account: many payers, same names every month"
"P11-BOUND-0001","EDGE_CASE","P11","CUST-000241","2026-08-05","2026-08-12","P11_MANY-TO-ONE_FUNNEL_WITH_DEVICE_OVERLAP","Exactly at threshold (100,000,000) — must not fire at default parameters"
"P12-EDGE-0001","EDGE_CASE","P12","CUST-000164","2026-07-21","2026-08-08","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Legitimate look-alike for P12"
"P12-BOUND-0001","EDGE_CASE","P12","CUST-000203","2026-06-09","2026-06-16","P12_NAME_SIMILAR_TO_A_SYNTHETIC_LIST_RECORD","Exactly at threshold (100,000,000) — must not fire at default parameters"
