"source_account_id","owner_source_id","owner_type","account_type","currency","opened_date","closed_date","status","balance_snapshot","balance_snapshot_at"
"ACC-0000043","CUST-000036","INDIVIDUAL","WALLET","IDR","2022-11-18","","ACTIVE","203789850.00","2026-09-30T00:00:00+07:00"
"ACC-0000044","CUST-000037","INDIVIDUAL","WALLET","IDR","2023-08-09","2026-07-24","CLOSED","206715618.00","2026-09-30T00:00:00+07:00"
"ACC-0000045","CUST-000038","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2022-04-22","","ACTIVE","91214591.00","2026-09-30T00:00:00+07:00"
"ACC-0000046","CUST-000039","INDIVIDUAL","WALLET","IDR","2025-11-23","","DORMANT","193784415.00","2026-09-30T00:00:00+07:00"
"ACC-0000047","CUST-000039","INDIVIDUAL","WALLET","IDR","2021-08-14","","ACTIVE","187301086.00","2026-09-30T00:00:00+07:00"
"ACC-0000048","CUST-000039","INDIVIDUAL","WALLET","IDR","2025-12-22","","ACTIVE","175965150.00","2026-09-30T00:00:00+07:00"
"ACC-0000049","CUST-000040","INDIVIDUAL","WALLET","IDR","2021-07-18","","ACTIVE","94833996.00","2026-09-30T00:00:00+07:00"
"ACC-0000050","CUST-000041","INDIVIDUAL","WALLET","IDR","2024-07-19","","ACTIVE","13296064.00","2026-09-30T00:00:00+07:00"
"ACC-0000051","CUST-000042","INDIVIDUAL","WALLET","IDR","2022-01-11","","ACTIVE","91284038.00","2026-09-30T00:00:00+07:00"
"ACC-0000052","CUST-000043","INDIVIDUAL","WALLET","IDR","2021-11-25","","RESTRICTED","52477549.00","2026-09-30T00:00:00+07:00"
"ACC-0000053","CUST-000044","INDIVIDUAL","WALLET","IDR","2021-08-20","","ACTIVE","138189105.00","2026-09-30T00:00:00+07:00"
"ACC-0000054","CUST-000044","INDIVIDUAL","WALLET","IDR","2023-07-06","","ACTIVE","201486777.00","2026-09-30T00:00:00+07:00"
"ACC-0000055","CUST-000045","INDIVIDUAL","WALLET","IDR","2025-12-09","","ACTIVE","206484696.00","2026-09-30T00:00:00+07:00"
"ACC-0000056","CUST-000046","INDIVIDUAL","WALLET","IDR","2023-07-02","","ACTIVE","247198703.00","2026-09-30T00:00:00+07:00"
"ACC-0000057","CUST-000047","INDIVIDUAL","WALLET","IDR","2020-10-30","","ACTIVE","117009327.00","2026-09-30T00:00:00+07:00"
"ACC-0000058","CUST-000048","INDIVIDUAL","WALLET","IDR","2024-01-04","","RESTRICTED","38439098.00","2026-09-30T00:00:00+07:00"
"ACC-0000059","CUST-000049","INDIVIDUAL","WALLET","IDR","2024-02-29","","ACTIVE","141452174.00","2026-09-30T00:00:00+07:00"
"ACC-0000060","CUST-000049","INDIVIDUAL","WALLET","IDR","2022-03-30","","ACTIVE","128557953.00","2026-09-30T00:00:00+07:00"
"ACC-0000061","CUST-000049","INDIVIDUAL","WALLET","IDR","2025-04-08","","ACTIVE","186637932.00","2026-09-30T00:00:00+07:00"
"ACC-0000062","CUST-000050","INDIVIDUAL","WALLET","IDR","2024-10-17","","RESTRICTED","38108615.00","2026-09-30T00:00:00+07:00"
"ACC-0000063","CUST-000051","INDIVIDUAL","WALLET","IDR","2024-06-18","","ACTIVE","4974293.00","2026-09-30T00:00:00+07:00"
"ACC-0000064","CUST-000052","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2025-09-28","","ACTIVE","207759782.00","2026-09-30T00:00:00+07:00"
"ACC-0000065","CUST-000053","INDIVIDUAL","WALLET","IDR","2025-01-11","","ACTIVE","200752382.00","2026-09-30T00:00:00+07:00"
"ACC-0000066","CUST-000054","INDIVIDUAL","WALLET","IDR","2025-01-31","","ACTIVE","141330717.00","2026-09-30T00:00:00+07:00"
"ACC-0000067","CUST-000055","INDIVIDUAL","WALLET","IDR","2025-05-14","","ACTIVE","50076234.00","2026-09-30T00:00:00+07:00"
"ACC-0000068","CUST-000056","INDIVIDUAL","WALLET","IDR","2021-04-01","2025-06-07","CLOSED","173150096.00","2026-09-30T00:00:00+07:00"
"ACC-0000069","CUST-000056","INDIVIDUAL","WALLET","IDR","2021-09-07","","ACTIVE","215451095.00","2026-09-30T00:00:00+07:00"
"ACC-0000070","CUST-000057","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2025-11-12","","ACTIVE","100246710.00","2026-09-30T00:00:00+07:00"
"ACC-0000071","CUST-000058","INDIVIDUAL","WALLET","IDR","2024-05-01","","ACTIVE","179445663.00","2026-09-30T00:00:00+07:00"
"ACC-0000072","CUST-000059","INDIVIDUAL","WALLET","IDR","2024-10-19","","ACTIVE","239477003.00","2026-09-30T00:00:00+07:00"
"ACC-0000073","CUST-000059","INDIVIDUAL","WALLET","IDR","2022-08-27","","ACTIVE","230936096.00","2026-09-30T00:00:00+07:00"
"ACC-0000074","CUST-000059","INDIVIDUAL","WALLET","IDR","2024-06-26","","ACTIVE","246378714.00","2026-09-30T00:00:00+07:00"
"ACC-0000075","CUST-000060","INDIVIDUAL","WALLET","IDR","2023-03-17","","ACTIVE","148540304.00","2026-09-30T00:00:00+07:00"
"ACC-0000076","CUST-000061","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2023-05-24","","ACTIVE","202088610.00","2026-09-30T00:00:00+07:00"
"ACC-0000077","CUST-000062","INDIVIDUAL","WALLET","IDR","2020-10-17","","ACTIVE","229154874.00","2026-09-30T00:00:00+07:00"
"ACC-0000078","CUST-000063","INDIVIDUAL","WALLET","IDR","2023-11-19","","ACTIVE","140176002.00","2026-09-30T00:00:00+07:00"
"ACC-0000079","CUST-000064","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2022-10-28","","ACTIVE","195191979.00","2026-09-30T00:00:00+07:00"
"ACC-0000080","CUST-000065","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2020-11-02","","ACTIVE","92557862.00","2026-09-30T00:00:00+07:00"
"ACC-0000081","CUST-000066","INDIVIDUAL","WALLET","IDR","2023-12-07","","ACTIVE","29982567.00","2026-09-30T00:00:00+07:00"
"ACC-0000082","CUST-000067","INDIVIDUAL","WALLET","IDR","2021-08-14","","ACTIVE","162170227.00","2026-09-30T00:00:00+07:00"
"ACC-0000083","CUST-000067","INDIVIDUAL","WALLET","IDR","2024-02-25","2026-10-29","CLOSED","25868370.00","2026-09-30T00:00:00+07:00"
"ACC-0000084","CUST-000068","INDIVIDUAL","WALLET","IDR","2023-01-10","","ACTIVE","191511791.00","2026-09-30T00:00:00+07:00"
"ACC-0000085","CUST-000069","INDIVIDUAL","WALLET","IDR","2025-01-11","","ACTIVE","92196904.00","2026-09-30T00:00:00+07:00"
"ACC-0000086","CUST-000070","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2024-03-14","","DORMANT","173660825.00","2026-09-30T00:00:00+07:00"
"ACC-0000087","CUST-000071","INDIVIDUAL","WALLET","IDR","2021-04-17","","ACTIVE","72425328.00","2026-09-30T00:00:00+07:00"
"ACC-0000088","CUST-000072","INDIVIDUAL","WALLET","IDR","2024-06-25","","ACTIVE","233869274.00","2026-09-30T00:00:00+07:00"
"ACC-0000089","CUST-000073","INDIVIDUAL","WALLET","IDR","2023-08-03","","ACTIVE","90029156.00","2026-09-30T00:00:00+07:00"
"ACC-0000090","CUST-000074","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2021-07-23","","RESTRICTED","233539980.00","2026-09-30T00:00:00+07:00"
"ACC-0000091","CUST-000074","INDIVIDUAL","WALLET","IDR","2022-09-24","2027-05-27","CLOSED","238577588.00","2026-09-30T00:00:00+07:00"
"ACC-0000092","CUST-000075","INDIVIDUAL","WALLET","IDR","2024-08-07","","ACTIVE","103230195.00","2026-09-30T00:00:00+07:00"
"ACC-0000093","CUST-000076","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2025-12-12","","ACTIVE","12131800.00","2026-09-30T00:00:00+07:00"
"ACC-0000094","CUST-000077","INDIVIDUAL","WALLET","IDR","2023-06-02","","ACTIVE","94558113.00","2026-09-30T00:00:00+07:00"
"ACC-0000095","CUST-000078","INDIVIDUAL","WALLET","IDR","2025-03-07","","ACTIVE","179862888.00","2026-09-30T00:00:00+07:00"
"ACC-0000096","CUST-000079","INDIVIDUAL","WALLET","IDR","2021-12-05","","ACTIVE","117819748.00","2026-09-30T00:00:00+07:00"
"ACC-0000097","CUST-000080","INDIVIDUAL","WALLET","IDR","2023-02-20","","ACTIVE","59140320.00","2026-09-30T00:00:00+07:00"
"ACC-0000098","CUST-000081","INDIVIDUAL","WALLET","IDR","2022-03-12","","ACTIVE","205588076.00","2026-09-30T00:00:00+07:00"
"ACC-0000099","CUST-000082","INDIVIDUAL","WALLET","IDR","2023-05-01","","ACTIVE","226392381.00","2026-09-30T00:00:00+07:00"
"ACC-0000100","CUST-000083","INDIVIDUAL","WALLET","IDR","2022-11-27","","ACTIVE","159981385.00","2026-09-30T00:00:00+07:00"
"ACC-0000101","CUST-000084","INDIVIDUAL","WALLET","IDR","2022-09-21","","ACTIVE","227066513.00","2026-09-30T00:00:00+07:00"
"ACC-0000102","CUST-000085","INDIVIDUAL","WALLET","IDR","2024-03-23","","ACTIVE","213727519.00","2026-09-30T00:00:00+07:00"
"ACC-0000103","CUST-000086","INDIVIDUAL","WALLET","IDR","2025-12-14","","ACTIVE","15169964.00","2026-09-30T00:00:00+07:00"
"ACC-0000104","CUST-000087","INDIVIDUAL","WALLET","IDR","2020-10-16","","ACTIVE","128348770.00","2026-09-30T00:00:00+07:00"
"ACC-0000105","CUST-000088","INDIVIDUAL","WALLET","IDR","2025-11-12","","ACTIVE","132379671.00","2026-09-30T00:00:00+07:00"
"ACC-0000106","CUST-000089","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2024-05-24","","ACTIVE","227378651.00","2026-09-30T00:00:00+07:00"
"ACC-0000107","CUST-000090","INDIVIDUAL","WALLET","IDR","2023-03-07","","ACTIVE","202526645.00","2026-09-30T00:00:00+07:00"
"ACC-0000108","CUST-ER00001","INDIVIDUAL","WALLET","IDR","2024-01-03","","ACTIVE","69702592.00","2026-09-30T00:00:00+07:00"
"ACC-0000109","CUST-ER00002","INDIVIDUAL","WALLET","IDR","2025-11-26","","ACTIVE","211599139.00","2026-09-30T00:00:00+07:00"
"ACC-0000110","CUST-ER00003","INDIVIDUAL","WALLET","IDR","2023-06-16","","ACTIVE","28247019.00","2026-09-30T00:00:00+07:00"
"ACC-0000111","CUST-ER00004","INDIVIDUAL","WALLET","IDR","2022-04-20","","DORMANT","76456509.00","2026-09-30T00:00:00+07:00"
"ACC-0000112","CUST-ER00005","INDIVIDUAL","WALLET","IDR","2023-12-06","","ACTIVE","231754812.00","2026-09-30T00:00:00+07:00"
"ACC-0000113","CUST-ER00005","INDIVIDUAL","WALLET","IDR","2023-09-22","","ACTIVE","180179712.00","2026-09-30T00:00:00+07:00"
"ACC-0000114","CUST-ER00005","INDIVIDUAL","WALLET","IDR","2024-07-31","","ACTIVE","1980557.00","2026-09-30T00:00:00+07:00"
"ACC-0000115","CUST-ER00006","INDIVIDUAL","WALLET","IDR","2022-01-11","","ACTIVE","56623666.00","2026-09-30T00:00:00+07:00"
"ACC-0000116","CUST-ER00007","INDIVIDUAL","VIRTUAL_ACCOUNT","IDR","2023-12-22","","ACTIVE","121623823.00","2026-09-30T00:00:00+07:00"
"ACC-0000117","CUST-ER00008","INDIVIDUAL","WALLET","IDR","2023-04-08","","ACTIVE","48856624.00","2026-09-30T00:00:00+07:00"
"ACC-0000118","CUST-ER00009","INDIVIDUAL","WALLET","IDR","2024-03-18","","ACTIVE","10357621.00","2026-09-30T00:00:00+07:00"
"ACC-0000119","CUST-ER00010","INDIVIDUAL","WALLET","IDR","2024-02-27","","ACTIVE","211321829.00","2026-09-30T00:00:00+07:00"
"ACC-0000120","BUS-00001","BUSINESS","SETTLEMENT","IDR","2023-04-19","","DORMANT","208278540.00","2026-09-30T00:00:00+07:00"
"ACC-0000121","BUS-00002","BUSINESS","SETTLEMENT","IDR","2020-12-26","","ACTIVE","56567596.00","2026-09-30T00:00:00+07:00"
"ACC-0000122","BUS-00003","BUSINESS","SETTLEMENT","IDR","2025-04-24","","ACTIVE","131180752.00","2026-09-30T00:00:00+07:00"
"ACC-0000123","BUS-00003","BUSINESS","WALLET","IDR","2025-02-02","","ACTIVE","18130096.00","2026-09-30T00:00:00+07:00"
"ACC-0000124","BUS-00004","BUSINESS","SETTLEMENT","IDR","2024-07-08","","ACTIVE","14945444.00","2026-09-30T00:00:00+07:00"
"ACC-0000125","BUS-00005","BUSINESS","SETTLEMENT","IDR","2021-09-02","","ACTIVE","247672587.00","2026-09-30T00:00:00+07:00"
"ACC-0000126","BUS-00005","BUSINESS","WALLET","IDR","2022-05-23","","ACTIVE","6291820.00","2026-09-30T00:00:00+07:00"
"ACC-0000127","BUS-00006","BUSINESS","SETTLEMENT","IDR","2023-06-17","","ACTIVE","242643549.00","2026-09-30T00:00:00+07:00"
"ACC-0000128","BUS-00007","BUSINESS","SETTLEMENT","IDR","2023-11-20","","ACTIVE","100017627.00","2026-09-30T00:00:00+07:00"
"ACC-0000129","BUS-00008","BUSINESS","SETTLEMENT","IDR","2023-06-16","","ACTIVE","19644981.00","2026-09-30T00:00:00+07:00"
"ACC-0000130","BUS-00009","BUSINESS","SETTLEMENT","IDR","2024-05-19","","ACTIVE","114825271.00","2026-09-30T00:00:00+07:00"
"ACC-0000131","BUS-00010","BUSINESS","SETTLEMENT","IDR","2021-01-13","","ACTIVE","19926928.00","2026-09-30T00:00:00+07:00"
"ACC-0000132","BUS-00011","BUSINESS","SETTLEMENT","IDR","2025-01-30","","DORMANT","212710063.00","2026-09-30T00:00:00+07:00"
"ACC-0000133","BUS-00011","BUSINESS","WALLET","IDR","2024-04-02","","ACTIVE","68219337.00","2026-09-30T00:00:00+07:00"
"ACC-0000134","BUS-00012","BUSINESS","SETTLEMENT","IDR","2023-03-28","","ACTIVE","39208150.00","2026-09-30T00:00:00+07:00"
