"source_merchant_id","source_business_id","merchant_name","mcc","declared_expected_volume_band","declared_expected_ticket_band","onboarded_date","status","settlement_source_account_id","operating_hours_declared","outlet_count"
"MER-00017","BUS-00977","Sinar Perkasa - Lodging","7011","250M_1B","250K_1M","2023-02-15","ACTIVE","ACC-0013090","10:00-22:00","7"
"MER-00018","BUS-00913","Sinar Logistik - Computers and Peripherals","5045","50M_250M","GT_1M","2023-04-15","ACTIVE","ACC-0013010","08:00-17:00","11"
"MER-00019","BUS-00754","Maju Nusantara - Cosmetic Stores","5977","250M_1B","50K_250K","2026-01-12","ACTIVE","ACC-0012803","10:00-22:00","2"
"MER-00020","BUS-00696","Harapan Niaga - Lodging","7011","GT_1B","250K_1M","2024-05-02","ACTIVE","ACC-0012731","08:00-17:00","5"
"MER-00021","BUS-01185","Sejahtera Bersama - Electronics Stores","5732","50M_250M","GT_1M","2025-08-15","ACTIVE","ACC-0013361","10:00-22:00","1"
"MER-00022","BUS-00419","Sinar Perkasa - Travel Agencies","4722","250M_1B","GT_1M","2024-08-24","ACTIVE","ACC-0012360","08:00-17:00","10"
"MER-00023","BUS-00781","Lestari Logistik - Family Clothing","5651","LT_50M","50K_250K","2024-05-18","ACTIVE","ACC-0012839","00:00-23:59","8"
"MER-00024","BUS-00103","Sentosa Nusantara - Taxicabs and Limousines","4121","50M_250M","LT_50K","2024-09-20","ACTIVE","ACC-0011960","10:00-22:00","2"
"MER-00025","BUS-00412","Sentosa Bersama - Quasi Cash","6051","GT_1B","GT_1M","2025-12-20","ACTIVE","ACC-0012351","08:00-17:00","7"
"MER-00026","BUS-01129","Sinar Perkasa - Eating Places","5812","LT_50M","50K_250K","2025-02-12","ACTIVE","ACC-0013285","00:00-23:59","2"
"MER-00027","BUS-00499","Makmur Logistik - Cosmetic Stores","5977","250M_1B","50K_250K","2024-04-28","SUSPENDED","ACC-0012467","08:00-17:00","5"
"MER-00028","BUS-00564","Harapan Niaga - Service Stations","5541","GT_1B","50K_250K","2024-08-31","ACTIVE","ACC-0012555","08:00-17:00","11"
"MER-00029","BUS-00237","Harapan Bersama - Drug Stores","5912","GT_1B","50K_250K","2025-10-04","ACTIVE","ACC-0012131","09:00-21:00","1"
"MER-00030","BUS-00190","Harapan Logistik - Quasi Cash","6051","250M_1B","GT_1M","2024-06-26","ACTIVE","ACC-0012070","00:00-23:59","11"
"MER-00031","BUS-00406","Cemerlang Nusantara - Computer Network Services","4816","GT_1B","50K_250K","2025-07-15","ACTIVE","ACC-0012341","08:00-17:00","3"
"MER-00032","BUS-00846","Sentosa Digital - Precious Stones and Metals","5094","LT_50M","GT_1M","2023-10-14","ACTIVE","ACC-0012924","08:00-17:00","4"
"MER-00033","BUS-01092","Sejahtera Logistik - Hospitals","8062","GT_1B","250K_1M","2025-01-04","ACTIVE","ACC-0013239","00:00-23:59","3"
"MER-00034","BUS-00536","Sinar Niaga - Precious Stones and Metals","5094","250M_1B","GT_1M","2023-03-19","ACTIVE","ACC-0012517","00:00-23:59","3"
"MER-00035","BUS-00512","Maju Logistik - Colleges and Universities","8220","50M_250M","GT_1M","2025-06-02","ACTIVE","ACC-0012484","09:00-21:00","9"
"MER-00036","BUS-01185","Sejahtera Bersama - Second Hand Stores","5933","LT_50M","50K_250K","2025-10-24","ACTIVE","ACC-0013361","10:00-22:00","11"
"MER-00037","BUS-00620","Cemerlang Nusantara - Taxicabs and Limousines","4121","50M_250M","LT_50K","2024-04-02","ACTIVE","ACC-0012629","00:00-23:59","7"
"MER-00038","BUS-00087","Maju Utama - Quasi Cash","6051","250M_1B","GT_1M","2024-12-04","ACTIVE","ACC-0011937","08:00-17:00","11"
"MER-00039","BUS-00417","Makmur Bersama - Computer Network Services","4816","GT_1B","50K_250K","2025-05-19","ACTIVE","ACC-0012357","00:00-23:59","2"
"MER-00040","BUS-01064","Sentosa Nusantara - Second Hand Stores","5933","250M_1B","50K_250K","2026-02-04","CLOSED","ACC-0013203","10:00-22:00","4"
"MER-00041","BUS-00297","Mandiri Digital - Book Stores","5942","GT_1B","50K_250K","2024-10-07","ACTIVE","ACC-0012205","09:00-21:00","7"
"MER-00042","BUS-00079","Sinar Digital - Travel Agencies","4722","250M_1B","GT_1M","2026-02-28","ACTIVE","ACC-0011926","10:00-22:00","9"
"MER-00043","BUS-00801","Lestari Bersama - Eating Places","5812","LT_50M","50K_250K","2025-11-12","ACTIVE","ACC-0012864","10:00-22:00","4"
"MER-00044","BUS-00208","Makmur Digital - Second Hand Stores","5933","GT_1B","50K_250K","2025-12-13","ACTIVE","ACC-0012091","09:00-21:00","8"
"MER-00045","BUS-00401","Harapan Nusantara - Family Clothing","5651","250M_1B","50K_250K","2022-12-23","ACTIVE","ACC-0012334","00:00-23:59","9"
"MER-00046","BUS-00703","Cemerlang Perkasa - Grocery Stores","5411","GT_1B","50K_250K","2025-10-09","ACTIVE","ACC-0012743","08:00-17:00","7"
"MER-00047","BUS-00608","Jaya Utama - Betting-adjacent (restricted)","7995","50M_250M","GT_1M","2024-12-07","ACTIVE","ACC-0012615","00:00-23:59","9"
"MER-00048","BUS-00507","Sentosa Digital - Department Stores","5311","LT_50M","250K_1M","2024-08-27","ACTIVE","ACC-0012478","09:00-21:00","11"
"MER-00049","BUS-00195","Jaya Niaga - Beauty Shops","7230","LT_50M","50K_250K","2025-03-16","ACTIVE","ACC-0012076","00:00-23:59","5"
"MER-00050","BUS-00574","Maju Digital - Cosmetic Stores","5977","GT_1B","50K_250K","2024-08-07","SUSPENDED","ACC-0012568","00:00-23:59","9"
"MER-00051","BUS-00813","Jaya Utama - Betting-adjacent (restricted)","7995","GT_1B","GT_1M","2025-04-07","ACTIVE","ACC-0012878","09:00-21:00","6"
"MER-00052","BUS-00586","Berkah Digital - Family Clothing","5651","50M_250M","50K_250K","2023-03-22","ACTIVE","ACC-0012583","00:00-23:59","4"
"MER-00053","BUS-00242","Sinar Utama - Travel Agencies","4722","250M_1B","GT_1M","2024-11-08","ACTIVE","ACC-0012138","08:00-17:00","10"
"MER-00054","BUS-00078","Abadi Niaga - Second Hand Stores","5933","50M_250M","50K_250K","2023-08-06","ACTIVE","ACC-0011925","00:00-23:59","10"
"MER-00055","BUS-00908","Maju Nusantara - Motion Picture Theatres","7832","50M_250M","50K_250K","2023-04-04","ACTIVE","ACC-0013005","10:00-22:00","5"
"MER-00056","BUS-00133","Sentosa Digital - Cosmetic Stores","5977","50M_250M","50K_250K","2024-03-22","ACTIVE","ACC-0011996","09:00-21:00","9"
"MER-00057","BUS-00439","Harapan Perkasa - Motion Picture Theatres","7832","250M_1B","50K_250K","2025-01-16","ACTIVE","ACC-0012385","10:00-22:00","4"
"MER-00058","BUS-00054","Lestari Perkasa - Family Clothing","5651","50M_250M","50K_250K","2025-05-19","ACTIVE","ACC-0011898","08:00-17:00","1"
"MER-00059","BUS-00936","Berkah Niaga - Precious Stones and Metals","5094","LT_50M","GT_1M","2023-06-26","ACTIVE","ACC-0013038","08:00-17:00","10"
"MER-00060","BUS-00662","Abadi Logistik - Electronics Stores","5732","LT_50M","GT_1M","2024-03-27","ACTIVE","ACC-0012682","08:00-17:00","10"
"MER-00061","BUS-00114","Maju Perkasa - Grocery Stores","5411","LT_50M","50K_250K","2025-05-19","ACTIVE","ACC-0011972","09:00-21:00","10"
"MER-00062","BUS-00310","Lestari Digital - Eating Places","5812","50M_250M","50K_250K","2024-06-12","ACTIVE","ACC-0012221","08:00-17:00","3"
"MER-00063","BUS-00231","Harapan Nusantara - Quasi Cash","6051","LT_50M","GT_1M","2024-04-17","ACTIVE","ACC-0012123","09:00-21:00","2"
"MER-00064","BUS-00282","Makmur Utama - Colleges and Universities","8220","50M_250M","GT_1M","2024-11-15","ACTIVE","ACC-0012188","08:00-17:00","7"
"MER-00065","BUS-00537","Maju Perkasa - Beauty Shops","7230","LT_50M","50K_250K","2025-03-31","ACTIVE","ACC-0012518","10:00-22:00","2"
"MER-00066","BUS-01075","Sejahtera Digital - Computers and Peripherals","5045","50M_250M","GT_1M","2023-10-24","ACTIVE","ACC-0013220","00:00-23:59","10"
"MER-00067","BUS-00432","Sejahtera Bersama - Eating Places","5812","50M_250M","50K_250K","2025-12-16","ACTIVE","ACC-0012377","10:00-22:00","6"
"MER-00068","BUS-00065","Makmur Digital - Fast Food","5814","LT_50M","LT_50K","2025-11-10","ACTIVE","ACC-0011909","10:00-22:00","3"
"MER-00069","BUS-00728","Maju Bersama - Precious Stones and Metals","5094","LT_50M","GT_1M","2023-11-28","ACTIVE","ACC-0012772","09:00-21:00","6"
"MER-00070","BUS-00259","Sentosa Perkasa - Family Clothing","5651","GT_1B","50K_250K","2023-06-30","ACTIVE","ACC-0012156","10:00-22:00","7"
"MER-00071","BUS-01102","Jaya Perkasa - Fast Food","5814","50M_250M","LT_50K","2024-08-17","ACTIVE","ACC-0013253","00:00-23:59","10"
"MER-00072","BUS-00594","Harapan Niaga - Motion Picture Theatres","7832","LT_50M","50K_250K","2024-01-10","ACTIVE","ACC-0012597","00:00-23:59","2"
"MER-00073","BUS-00259","Sentosa Perkasa - Travel Agencies","4722","LT_50M","GT_1M","2023-02-07","ACTIVE","ACC-0012156","08:00-17:00","9"
"MER-00074","BUS-00639","Berkah Utama - Cosmetic Stores","5977","GT_1B","50K_250K","2025-03-19","ACTIVE","ACC-0012654","00:00-23:59","8"
"MER-00075","BUS-00206","Maju Digital - Department Stores","5311","GT_1B","250K_1M","2023-11-19","ACTIVE","ACC-0012089","08:00-17:00","6"
"MER-00076","BUS-00023","Sinar Bersama - Second Hand Stores","5933","LT_50M","50K_250K","2024-03-07","ACTIVE","ACC-0011858","10:00-22:00","3"
"MER-00077","BUS-00237","Harapan Bersama - Betting-adjacent (restricted)","7995","GT_1B","GT_1M","2025-10-26","ACTIVE","ACC-0012131","10:00-22:00","6"
"MER-00078","BUS-00346","Lestari Nusantara - Department Stores","5311","GT_1B","250K_1M","2025-10-12","ACTIVE","ACC-0012265","00:00-23:59","9"
"MER-00079","BUS-01016","Jaya Niaga - Department Stores","5311","50M_250M","250K_1M","2023-10-09","ACTIVE","ACC-0013142","09:00-21:00","8"
"MER-00080","BUS-00436","Makmur Utama - Utilities","4900","250M_1B","250K_1M","2023-04-16","ACTIVE","ACC-0012381","09:00-21:00","10"
"MER-00081","BUS-00708","Mandiri Niaga - Quasi Cash","6051","250M_1B","GT_1M","2023-03-16","ACTIVE","ACC-0012749","00:00-23:59","8"
"MER-00082","BUS-00978","Lestari Nusantara - Drug Stores","5912","50M_250M","50K_250K","2025-09-19","ACTIVE","ACC-0013091","08:00-17:00","11"
"MER-00083","BUS-00068","Cemerlang Digital - Misc Retail","5999","GT_1B","50K_250K","2023-06-04","ACTIVE","ACC-0011912","08:00-17:00","6"
"MER-00084","BUS-00961","Sinar Logistik - Eating Places","5812","50M_250M","50K_250K","2025-04-01","ACTIVE","ACC-0013070","00:00-23:59","10"
"MER-00085","BUS-00252","Maju Digital - Quasi Cash","6051","LT_50M","GT_1M","2024-04-07","ACTIVE","ACC-0012149","09:00-21:00","8"
"MER-00086","BUS-01023","Jaya Perkasa - Precious Stones and Metals","5094","250M_1B","GT_1M","2024-07-18","ACTIVE","ACC-0013150","10:00-22:00","1"
"MER-00087","BUS-00023","Sinar Bersama - Electronics Stores","5732","GT_1B","GT_1M","2025-02-19","ACTIVE","ACC-0011858","00:00-23:59","6"
"MER-00088","BUS-00682","Berkah Digital - Travel Agencies","4722","LT_50M","GT_1M","2024-10-19","ACTIVE","ACC-0012710","10:00-22:00","7"
"MER-00089","BUS-00979","Sejahtera Nusantara - Book Stores","5942","250M_1B","50K_250K","2024-07-03","ACTIVE","ACC-0013093","09:00-21:00","9"
"MER-00090","BUS-00390","Harapan Digital - Taxicabs and Limousines","4121","250M_1B","LT_50K","2025-05-30","ACTIVE","ACC-0012322","08:00-17:00","5"
"MER-00091","BUS-00990","Jaya Logistik - Lodging","7011","LT_50M","250K_1M","2025-10-08","ACTIVE","ACC-0013108","08:00-17:00","1"
"MER-00092","BUS-00290","Abadi Perkasa - Quasi Cash","6051","LT_50M","GT_1M","2025-08-03","ACTIVE","ACC-0012197","10:00-22:00","11"
"MER-00093","BUS-00485","Sinar Bersama - Hospitals","8062","250M_1B","250K_1M","2025-06-26","ACTIVE","ACC-0012448","00:00-23:59","10"
"MER-00094","BUS-00125","Sinar Nusantara - Service Stations","5541","LT_50M","50K_250K","2025-07-06","ACTIVE","ACC-0011985","10:00-22:00","2"
"MER-00095","BUS-00342","Berkah Niaga - Computers and Peripherals","5045","LT_50M","GT_1M","2024-02-26","ACTIVE","ACC-0012261","08:00-17:00","11"
"MER-00096","BUS-01074","Abadi Logistik - Quasi Cash","6051","50M_250M","GT_1M","2024-04-01","ACTIVE","ACC-0013219","00:00-23:59","4"
"MER-00097","BUS-00678","Berkah Niaga - Electronics Stores","5732","LT_50M","GT_1M","2026-03-07","ACTIVE","ACC-0012704","09:00-21:00","6"
"MER-00098","BUS-00809","Berkah Logistik - Precious Stones and Metals","5094","250M_1B","GT_1M","2025-07-04","ACTIVE","ACC-0012874","08:00-17:00","7"
"MER-00099","BUS-00582","Sinar Perkasa - Lodging","7011","50M_250M","250K_1M","2024-06-17","ACTIVE","ACC-0012578","08:00-17:00","9"
"MER-00100","BUS-00506","Sinar Utama - Lodging","7011","LT_50M","250K_1M","2025-10-19","ACTIVE","ACC-0012477","09:00-21:00","2"
"MER-00101","BUS-00396","Cemerlang Utama - Drug Stores","5912","250M_1B","50K_250K","2024-04-09","ACTIVE","ACC-0012328","09:00-21:00","7"
"MER-00102","BUS-00496","Harapan Utama - Lodging","7011","250M_1B","250K_1M","2022-12-31","ACTIVE","ACC-0012464","08:00-17:00","9"
"MER-00103","BUS-00654","Sentosa Utama - Hospitals","8062","GT_1B","250K_1M","2024-11-16","ACTIVE","ACC-0012672","00:00-23:59","5"
"MER-00104","BUS-00103","Sentosa Nusantara - Family Clothing","5651","GT_1B","50K_250K","2023-09-15","ACTIVE","ACC-0011960","08:00-17:00","1"
"MER-00105","BUS-00482","Maju Bersama - Lodging","7011","250M_1B","250K_1M","2023-11-21","ACTIVE","ACC-0012445","10:00-22:00","6"
"MER-00106","BUS-00355","Sinar Logistik - Betting-adjacent (restricted)","7995","GT_1B","GT_1M","2023-02-10","ACTIVE","ACC-0012276","10:00-22:00","7"
"MER-00107","BUS-00108","Makmur Nusantara - Betting-adjacent (restricted)","7995","GT_1B","GT_1M","2024-01-08","ACTIVE","ACC-0011966","00:00-23:59","2"
"MER-00108","BUS-00438","Lestari Nusantara - Betting-adjacent (restricted)","7995","50M_250M","GT_1M","2026-02-06","ACTIVE","ACC-0012383","10:00-22:00","8"
"MER-00109","BUS-00628","Harapan Bersama - Misc Retail","5999","GT_1B","50K_250K","2025-08-20","ACTIVE","ACC-0012640","00:00-23:59","6"
"MER-00110","BUS-00149","Berkah Utama - Colleges and Universities","8220","LT_50M","GT_1M","2023-02-04","ACTIVE","ACC-0012017","10:00-22:00","9"
"MER-00111","BUS-00804","Berkah Perkasa - Grocery Stores","5411","LT_50M","50K_250K","2025-09-12","ACTIVE","ACC-0012868","10:00-22:00","5"
"MER-00112","BUS-00602","Harapan Bersama - Second Hand Stores","5933","50M_250M","50K_250K","2023-04-28","ACTIVE","ACC-0012608","09:00-21:00","4"
"MER-00113","BUS-00471","Sejahtera Nusantara - Family Clothing","5651","LT_50M","50K_250K","2023-09-29","ACTIVE","ACC-0012430","08:00-17:00","2"
"MER-00114","BUS-00541","Cemerlang Bersama - Drug Stores","5912","50M_250M","50K_250K","2023-02-26","ACTIVE","ACC-0012524","10:00-22:00","4"
"MER-00115","BUS-00648","Lestari Nusantara - Family Clothing","5651","GT_1B","50K_250K","2024-01-19","ACTIVE","ACC-0012666","09:00-21:00","7"
"MER-00116","BUS-00672","Berkah Logistik - Beauty Shops","7230","LT_50M","50K_250K","2023-04-18","ACTIVE","ACC-0012696","10:00-22:00","10"
"MER-00117","BUS-00643","Cemerlang Digital - Service Stations","5541","250M_1B","50K_250K","2024-03-22","ACTIVE","ACC-0012658","00:00-23:59","4"
"MER-00118","BUS-01009","Lestari Perkasa - Book Stores","5942","GT_1B","50K_250K","2026-02-13","ACTIVE","ACC-0013133","00:00-23:59","4"
"MER-00119","BUS-00883","Mandiri Nusantara - Cosmetic Stores","5977","GT_1B","50K_250K","2025-07-21","ACTIVE","ACC-0012971","00:00-23:59","4"
"MER-00120","BUS-00354","Maju Utama - Second Hand Stores","5933","LT_50M","50K_250K","2026-03-01","ACTIVE","ACC-0012274","10:00-22:00","9"
"MER-00121","BUS-00540","Abadi Digital - Beauty Shops","7230","50M_250M","50K_250K","2023-03-17","CLOSED","ACC-0012523","10:00-22:00","3"
"MER-00122","BUS-00211","Makmur Niaga - Misc Retail","5999","LT_50M","50K_250K","2025-01-26","ACTIVE","ACC-0012096","09:00-21:00","10"
"MER-00123","BUS-00427","Abadi Logistik - Betting-adjacent (restricted)","7995","LT_50M","GT_1M","2025-04-29","ACTIVE","ACC-0012371","00:00-23:59","9"
"MER-00124","BUS-00847","Maju Niaga - Quasi Cash","6051","LT_50M","GT_1M","2025-11-04","ACTIVE","ACC-0012925","09:00-21:00","6"
"MER-00125","BUS-00048","Sentosa Utama - Lodging","7011","250M_1B","250K_1M","2025-11-11","ACTIVE","ACC-0011892","00:00-23:59","10"
"MER-00126","BUS-00038","Mandiri Perkasa - Precious Stones and Metals","5094","50M_250M","GT_1M","2025-10-21","SUSPENDED","ACC-0011877","08:00-17:00","4"
"MER-00127","BUS-00513","Cemerlang Niaga - Book Stores","5942","LT_50M","50K_250K","2023-06-06","ACTIVE","ACC-0012485","09:00-21:00","7"
"MER-00128","BUS-00378","Sejahtera Utama - Book Stores","5942","50M_250M","50K_250K","2026-03-06","ACTIVE","ACC-0012307","08:00-17:00","5"
"MER-00129","BUS-00528","Abadi Bersama - Service Stations","5541","50M_250M","50K_250K","2024-12-09","ACTIVE","ACC-0012506","08:00-17:00","9"
"MER-00130","BUS-00418","Sinar Utama - Betting-adjacent (restricted)","7995","LT_50M","GT_1M","2024-08-31","ACTIVE","ACC-0012359","08:00-17:00","5"
"MER-00131","BUS-00482","Maju Bersama - Beauty Shops","7230","50M_250M","50K_250K","2025-11-25","ACTIVE","ACC-0012445","08:00-17:00","11"
"MER-00132","BUS-00076","Sinar Logistik - Beauty Shops","7230","50M_250M","50K_250K","2024-08-18","ACTIVE","ACC-0011923","09:00-21:00","4"
"MER-00133","BUS-00596","Sinar Logistik - Family Clothing","5651","50M_250M","50K_250K","2024-10-18","ACTIVE","ACC-0012600","00:00-23:59","11"
"MER-00134","BUS-00519","Sentosa Logistik - Family Clothing","5651","50M_250M","50K_250K","2025-07-05","ACTIVE","ACC-0012492","00:00-23:59","2"
"MER-00135","BUS-00282","Makmur Utama - Second Hand Stores","5933","LT_50M","50K_250K","2023-03-13","ACTIVE","ACC-0012188","00:00-23:59","4"
"MER-00136","BUS-00842","Lestari Utama - Drug Stores","5912","LT_50M","50K_250K","2024-06-07","ACTIVE","ACC-0012918","09:00-21:00","7"
"MER-00137","BUS-01184","Lestari Nusantara - Precious Stones and Metals","5094","50M_250M","GT_1M","2023-10-30","ACTIVE","ACC-0013360","09:00-21:00","10"
"MER-00138","BUS-00483","Sinar Bersama - Grocery Stores","5411","50M_250M","50K_250K","2024-08-12","ACTIVE","ACC-0012446","09:00-21:00","9"
"MER-00139","BUS-00972","Cemerlang Perkasa - Service Stations","5541","250M_1B","50K_250K","2025-03-15","ACTIVE","ACC-0013083","10:00-22:00","5"
"MER-00140","BUS-00614","Abadi Digital - Department Stores","5311","LT_50M","250K_1M","2025-02-19","SUSPENDED","ACC-0012621","09:00-21:00","8"
"MER-00141","BUS-00245","Abadi Logistik - Grocery Stores","5411","250M_1B","50K_250K","2023-04-15","SUSPENDED","ACC-0012142","08:00-17:00","6"
"MER-00142","BUS-00800","Sejahtera Logistik - Beauty Shops","7230","250M_1B","50K_250K","2023-06-14","ACTIVE","ACC-0012863","08:00-17:00","1"
"MER-00143","BUS-00539","Lestari Digital - Misc Retail","5999","LT_50M","50K_250K","2025-10-02","ACTIVE","ACC-0012521","10:00-22:00","8"
"MER-00144","BUS-00473","Sentosa Perkasa - Precious Stones and Metals","5094","LT_50M","GT_1M","2024-06-25","ACTIVE","ACC-0012433","00:00-23:59","6"
"MER-00145","BUS-00656","Sentosa Digital - Quasi Cash","6051","50M_250M","GT_1M","2025-04-26","ACTIVE","ACC-0012675","00:00-23:59","8"
"MER-00146","BUS-00595","Sejahtera Bersama - Grocery Stores","5411","250M_1B","50K_250K","2024-07-09","ACTIVE","ACC-0012598","10:00-22:00","1"
"MER-00147","BUS-01028","Jaya Logistik - Department Stores","5311","GT_1B","250K_1M","2026-02-08","ACTIVE","ACC-0013156","00:00-23:59","2"
"MER-00148","BUS-00670","Cemerlang Utama - Grocery Stores","5411","50M_250M","50K_250K","2026-01-26","ACTIVE","ACC-0012693","00:00-23:59","3"
"MER-00149","BUS-00290","Abadi Perkasa - Grocery Stores","5411","LT_50M","50K_250K","2026-02-09","ACTIVE","ACC-0012197","08:00-17:00","3"
"MER-00150","BUS-00937","Sejahtera Bersama - Precious Stones and Metals","5094","LT_50M","GT_1M","2025-05-28","ACTIVE","ACC-0013039","09:00-21:00","2"
"MER-00151","BUS-00769","Mandiri Logistik - Colleges and Universities","8220","50M_250M","GT_1M","2023-12-07","ACTIVE","ACC-0012823","10:00-22:00","11"
"MER-00152","BUS-00539","Lestari Digital - Hospitals","8062","250M_1B","250K_1M","2023-11-17","ACTIVE","ACC-0012521","10:00-22:00","5"
"MER-00153","BUS-00862","Sinar Digital - Beauty Shops","7230","GT_1B","50K_250K","2024-02-10","ACTIVE","ACC-0012943","10:00-22:00","3"
"MER-00154","BUS-01159","Abadi Logistik - Electronics Stores","5732","50M_250M","GT_1M","2025-01-03","ACTIVE","ACC-0013326","09:00-21:00","9"
"MER-00155","BUS-00233","Lestari Niaga - Drug Stores","5912","LT_50M","50K_250K","2023-06-26","ACTIVE","ACC-0012126","00:00-23:59","8"
"MER-00156","BUS-00884","Sentosa Niaga - Utilities","4900","250M_1B","250K_1M","2024-08-11","ACTIVE","ACC-0012972","09:00-21:00","4"
"MER-00157","BUS-00523","Lestari Niaga - Misc Retail","5999","50M_250M","50K_250K","2023-03-15","ACTIVE","ACC-0012498","00:00-23:59","11"
"MER-00158","BUS-00183","Makmur Logistik - Travel Agencies","4722","250M_1B","GT_1M","2024-07-04","ACTIVE","ACC-0012062","00:00-23:59","3"
"MER-00159","BUS-00560","Cemerlang Bersama - Computer Network Services","4816","250M_1B","50K_250K","2023-01-10","CLOSED","ACC-0012548","08:00-17:00","10"
"MER-00160","BUS-00410","Sentosa Perkasa - Utilities","4900","50M_250M","250K_1M","2025-12-31","ACTIVE","ACC-0012348","10:00-22:00","7"
"MER-00161","BUS-00927","Berkah Nusantara - Drug Stores","5912","LT_50M","50K_250K","2025-03-22","ACTIVE","ACC-0013027","08:00-17:00","9"
"MER-00162","BUS-00439","Harapan Perkasa - Eating Places","5812","LT_50M","50K_250K","2025-04-26","ACTIVE","ACC-0012385","10:00-22:00","3"
"MER-00163","BUS-00748","Harapan Perkasa - Cosmetic Stores","5977","LT_50M","50K_250K","2024-04-08","ACTIVE","ACC-0012795","10:00-22:00","9"
"MER-00164","BUS-01088","Maju Nusantara - Department Stores","5311","50M_250M","250K_1M","2024-03-27","ACTIVE","ACC-0013234","09:00-21:00","2"
"MER-00165","BUS-00218","Cemerlang Utama - Family Clothing","5651","LT_50M","50K_250K","2024-10-31","ACTIVE","ACC-0012105","09:00-21:00","5"
"MER-00166","BUS-00501","Mandiri Niaga - Department Stores","5311","GT_1B","250K_1M","2025-02-26","ACTIVE","ACC-0012470","00:00-23:59","3"
"MER-00167","BUS-00409","Berkah Bersama - Precious Stones and Metals","5094","LT_50M","GT_1M","2023-07-04","ACTIVE","ACC-0012347","08:00-17:00","2"
"MER-00168","BUS-00224","Abadi Logistik - Book Stores","5942","GT_1B","50K_250K","2023-02-17","ACTIVE","ACC-0012113","09:00-21:00","4"
"MER-00169","BUS-00023","Sinar Bersama - Department Stores","5311","250M_1B","250K_1M","2023-06-09","ACTIVE","ACC-0011858","09:00-21:00","9"
"MER-00170","BUS-00711","Sinar Utama - Hospitals","8062","GT_1B","250K_1M","2023-01-05","ACTIVE","ACC-0012752","00:00-23:59","11"
"MER-00171","BUS-01061","Lestari Digital - Colleges and Universities","8220","LT_50M","GT_1M","2023-05-25","ACTIVE","ACC-0013198","00:00-23:59","10"
"MER-00172","BUS-00117","Abadi Perkasa - Eating Places","5812","50M_250M","50K_250K","2024-05-27","ACTIVE","ACC-0011976","09:00-21:00","3"
"MER-00173","BUS-01177","Maju Niaga - Travel Agencies","4722","LT_50M","GT_1M","2024-08-16","ACTIVE","ACC-0013352","10:00-22:00","2"
