"source_business_id","legal_name","trading_names","registration_number","registration_country","incorporation_date","industry_code","declared_turnover_band","address_line","city","province","postcode","country","contact_phone","contact_email","status"
"BUS-00037","UD Makmur Nusantara","Makmur Nusantara","9979054742199","ID","2025-03-18","20834","300M_2_5B","Jl. Cempaka No. 38","Surabaya","Jawa Timur","60111","ID","+628998185996","bus-00037@mailuji.example","ACTIVE"
"BUS-00038","PT Mandiri Perkasa","Mandiri Perkasa","9943332020084","ID","2021-07-17","81946","2_5B_50B","-","Yogyakarta","DI Yogyakarta","55111","ID","+628991388154","bus-00038@contoh.id","ACTIVE"
"BUS-00039","PT Sentosa Perkasa","Sentosa Perkasa","9958683391439","ID","2013-05-20","82272","2_5B_50B","Jl. Anggrek No. 113","Yogyakarta","DI Yogyakarta","55111","ID","+628995427118","bus-00039@contoh.id","ACTIVE"
"BUS-00040","PT Makmur Digital","Makmur Digital","9943275303595","ID","2012-07-28","96046","300M_2_5B","Jl. Bougenville No. 89","Yogyakarta","DI Yogyakarta","55111","ID","+628996251445","bus-00040@contoh.id","ACTIVE"
"BUS-00041","Koperasi Harapan Logistik","Harapan Logistik","9946388597903","ID","2013-04-25","48556","GT_50B","Jl. Anggrek No. 215","Balikpapan","Kalimantan Timur","76111","ID","+628992255402","bus-00041@surelsintetis.id","ACTIVE"
"BUS-00042","UD Mandiri Bersama","Mandiri Bersama","9946407034622","ID","2019-05-31","64800","LT_300M","Jl. Anggrek No. 24","Semarang","Jawa Tengah","50111","ID","+628991518811","bus-00042@contoh.id","ACTIVE"
"BUS-00043","PT Cemerlang Nusantara","Cemerlang Nusantara","9976282101881","ID","2020-10-28","24550","LT_300M","Jl. Bougenville No. 114","Denpasar","Bali","80111","ID","+628997130972","bus-00043@contoh.id","ACTIVE"
"BUS-00044","PT Abadi Utama","Abadi Utama","9998480119043","ID","2016-03-06","44713","300M_2_5B","Jl. Dahlia No. 103","Makassar","Sulawesi Selatan","90111","ID","+628998225622","bus-00044@surelsintetis.id","ACTIVE"
"BUS-00045","Koperasi Maju Perkasa","Maju Perkasa","9981058938017","ID","2024-06-22","69997","300M_2_5B","Jl. Teratai No. 92","Jakarta Pusat","DKI Jakarta","10110","ID","+628999262895","bus-00045@mailuji.example","ACTIVE"
"BUS-00046","PT Mandiri Niaga","Mandiri Niaga","9972171269571","ID","2018-05-31","98491","300M_2_5B","Jl. Anggrek No. 1","Semarang","Jawa Tengah","50111","ID","+628994395953","bus-00046@mailuji.example","ACTIVE"
"BUS-00047","UD Abadi Perkasa","Abadi Perkasa","9984199459428","ID","2019-01-23","69029","2_5B_50B","Jl. Cempaka No. 171","Semarang","Jawa Tengah","50111","ID","+628999680507","bus-00047@contoh.id","ACTIVE"
"BUS-00048","CV Sentosa Utama","Sentosa Utama","9985417822100","ID","2025-08-02","24394","300M_2_5B","Jl. Bougenville No. 125","Denpasar","Bali","80111","ID","+628997917642","bus-00048@contoh.id","ACTIVE"
"BUS-00049","CV Lestari Utama","Lestari Utama","9966365175764","ID","2016-11-06","21827","LT_300M","Jl. Kenanga No. 76","Makassar","Sulawesi Selatan","90111","ID","+628991349851","bus-00049@mailuji.example","ACTIVE"
"BUS-00050","UD Sentosa Digital","Sentosa Digital","9962804105708","ID","2015-06-03","38004","2_5B_50B","Jl. Flamboyan No. 53","Yogyakarta","DI Yogyakarta","55111","ID","+628994044682","bus-00050@demo.example","ACTIVE"
"BUS-00051","CV Sinar Perkasa","Sinar Perkasa","9971768563542","ID","2021-04-29","91674","300M_2_5B","Jl. Flamboyan No. 8","Palembang","Sumatera Selatan","30111","ID","+628993101772","bus-00051@contoh.id","ACTIVE"
"BUS-00052","PT Sentosa Nusantara","Sentosa Nusantara","9976659713530","ID","2015-02-01","18064","LT_300M","Jl. Flamboyan No. 23","Balikpapan","Kalimantan Timur","76111","ID","+628991633833","bus-00052@contoh.id","ACTIVE"
"BUS-00053","CV Sentosa Nusantara","Sentosa Nusantara","9989374210335","ID","2020-12-26","55634","LT_300M","Jl. Melati No. 24","Makassar","Sulawesi Selatan","90111","ID","+628997865693","bus-00053@surelsintetis.id","ACTIVE"
"BUS-00054","UD Lestari Perkasa","Lestari Perkasa","9946286209776","ID","2023-12-12","76560","300M_2_5B","Jl. Melati No. 3","Surabaya","Jawa Timur","60111","ID","+628991633269","bus-00054@demo.example","ACTIVE"
"BUS-00055","PT Cemerlang Perkasa","Cemerlang Perkasa","9951950962273","ID","2017-05-19","13481","300M_2_5B","Jl. Dahlia No. 58","Semarang","Jawa Tengah","50111","ID","+628991968964","bus-00055@demo.example","ACTIVE"
"BUS-00056","UD Maju Utama","Maju Utama","9915248324490","ID","2022-08-24","10882","2_5B_50B","Jl. Cempaka No. 237","Makassar","Sulawesi Selatan","90111","ID","+628998439056","bus-00056@mailuji.example","ACTIVE"
"BUS-00057","UD Harapan Niaga","Harapan Niaga","9990633452351","ID","2012-10-04","31185","300M_2_5B","Jl. Melati No. 74","Palembang","Sumatera Selatan","30111","ID","+628997173860","bus-00057@surelsintetis.id","ACTIVE"
"BUS-00058","UD Jaya Utama","Jaya Utama","9991187058783","ID","2022-07-11","57297","300M_2_5B","Jl. Cempaka No. 55","Palembang","Sumatera Selatan","30111","ID","+628997250701","bus-00058@surelsintetis.id","ACTIVE"
"BUS-00059","Koperasi Abadi Utama","Abadi Utama","9945795778618","ID","2025-08-01","83438","LT_300M","Jl. Flamboyan No. 90","Denpasar","Bali","80111","ID","+628999941357","bus-00059@surelsintetis.id","ACTIVE"
"BUS-00060","PT Mandiri Niaga","Mandiri Niaga","9986468475369","ID","2018-10-15","50659","GT_50B","Jl. Cempaka No. 117","Jakarta Pusat","DKI Jakarta","10110","ID","+628999117190","bus-00060@contoh.id","ACTIVE"
"BUS-00061","CV Cemerlang Digital","Cemerlang Digital","9955213237246","ID","2022-10-22","46845","2_5B_50B","Jl. Melati No. 122","Jakarta Pusat","DKI Jakarta","10110","ID","+628993885045","bus-00061@surelsintetis.id","ACTIVE"
"BUS-00062","PT Sejahtera Perkasa","Sejahtera Perkasa","9975100923137","ID","2013-10-02","89115","LT_300M","Jl. Teratai No. 168","Jakarta Pusat","DKI Jakarta","10110","ID","+628994850596","bus-00062@demo.example","ACTIVE"
"BUS-00063","PT Jaya Digital","Jaya Digital","9951029371262","ID","2017-04-16","18125","GT_50B","Jl. Melati No. 52","Semarang","Jawa Tengah","50111","ID","+628991740504","bus-00063@demo.example","ACTIVE"
"BUS-00064","UD Sentosa Nusantara","Sentosa Nusantara","9992421248268","ID","2019-06-13","40167","300M_2_5B","Jl. Melati No. 13","Balikpapan","Kalimantan Timur","76111","ID","+628994500306","bus-00064@surelsintetis.id","ACTIVE"
"BUS-00065","CV Makmur Digital","Makmur Digital","9985991556773","ID","2018-12-02","67673","2_5B_50B","Jl. Bougenville No. 22","Surabaya","Jawa Timur","60111","ID","+628996234883","bus-00065@mailuji.example","ACTIVE"
"BUS-00066","CV Maju Utama","Maju Utama","9925569652802","ID","2013-09-17","11383","300M_2_5B","Jl. Cempaka No. 17","Semarang","Jawa Tengah","50111","ID","+628992001560","bus-00066@contoh.id","ACTIVE"
"BUS-00067","PT Sentosa Bersama","Sentosa Bersama","9969379796954","ID","2023-08-07","46228","GT_50B","Jl. Mawar No. 171","Medan","Sumatera Utara","20111","ID","+628991354472","bus-00067@mailuji.example","ACTIVE"
"BUS-00068","UD Cemerlang Digital","Cemerlang Digital","9938392605245","ID","2013-05-21","13640","LT_300M","Jl. Anggrek No. 177","Jakarta Pusat","DKI Jakarta","10110","ID","+628998413711","bus-00068@demo.example","ACTIVE"
"BUS-00069","Koperasi Cemerlang Bersama","Cemerlang Bersama","9993072788390","ID","2022-05-08","16208","2_5B_50B","Jl. Flamboyan No. 170","Makassar","Sulawesi Selatan","90111","ID","+628998689143","bus-00069@mailuji.example","ACTIVE"
"BUS-00070","PT Lestari Perkasa","Lestari Perkasa","9960607037817","ID","2025-04-05","64564","2_5B_50B","Jl. Melati No. 135","Surabaya","Jawa Timur","60111","ID","+628993704824","bus-00070@mailuji.example","ACTIVE"
"BUS-00071","CV Sentosa Logistik","Sentosa Logistik","9937313645151","ID","2014-08-26","11059","LT_300M","Jl. Mawar No. 97","Palembang","Sumatera Selatan","30111","ID","+628994716969","bus-00071@contoh.id","SUSPENDED"
"BUS-00072","PT Harapan Niaga","Harapan Niaga","9935975294498","ID","2020-01-28","36409","LT_300M","Jl. Mawar No. 221","Bandung","Jawa Barat","40111","ID","+628997197633","bus-00072@mailuji.example","ACTIVE"
"BUS-00073","UD Cemerlang Utama","Cemerlang Utama","9942839995057","ID","2022-04-09","26415","2_5B_50B","Jl. Flamboyan No. 199","Yogyakarta","DI Yogyakarta","55111","ID","+628998467051","bus-00073@surelsintetis.id","ACTIVE"
"BUS-00074","UD Jaya Logistik","Jaya Logistik","9941533951456","ID","2018-08-09","18807","LT_300M","Jl. Cempaka No. 173","Denpasar","Bali","80111","ID","+628994125833","bus-00074@demo.example","ACTIVE"
"BUS-00075","Koperasi Berkah Utama","Berkah Utama","9995244904419","ID","2019-09-15","74254","300M_2_5B","Jl. Bougenville No. 205","Semarang","Jawa Tengah","50111","ID","+628996402587","bus-00075@surelsintetis.id","ACTIVE"
"BUS-00076","PT Sinar Logistik","Sinar Logistik","9962017294870","ID","2014-03-27","65173","LT_300M","Jl. Anggrek No. 232","Makassar","Sulawesi Selatan","90111","ID","+628991040024","bus-00076@surelsintetis.id","ACTIVE"
"BUS-00077","Koperasi Cemerlang Nusantara","Cemerlang Nusantara","9954612871250","ID","2018-07-22","83738","LT_300M","SAMA DENGAN KTP","Denpasar","Bali","80111","ID","+628995595890","bus-00077@contoh.id","ACTIVE"
"BUS-00078","CV Abadi Niaga","Abadi Niaga","9986726793700","ID","2017-06-20","80773","LT_300M","Jl. Cempaka No. 132","Denpasar","Bali","80111","ID","+628997167144","bus-00078@mailuji.example","ACTIVE"
"BUS-00079","Koperasi Sinar Digital","Sinar Digital","9996701009622","ID","2017-05-27","14626","GT_50B","Jl. Dahlia No. 73","Surabaya","Jawa Timur","60111","ID","+628991749116","bus-00079@contoh.id","ACTIVE"
"BUS-00080","UD Sejahtera Perkasa","Sejahtera Perkasa","9949034605069","ID","2013-12-08","54379","300M_2_5B","Jl. Cempaka No. 187","Balikpapan","Kalimantan Timur","76111","ID","+628996431447","bus-00080@mailuji.example","ACTIVE"
"BUS-00081","PT Makmur Nusantara","Makmur Nusantara","9961741470962","ID","2020-01-15","73979","300M_2_5B","Jl. Flamboyan No. 109","Denpasar","Bali","80111","ID","+628995325152","bus-00081@mailuji.example","ACTIVE"
"BUS-00082","Koperasi Mandiri Niaga","Mandiri Niaga","9992794516897","ID","2013-02-13","27088","GT_50B","Jl. Flamboyan No. 7","Jakarta Pusat","DKI Jakarta","10110","ID","+628994306628","bus-00082@mailuji.example","ACTIVE"
"BUS-00083","CV Sejahtera Niaga","Sejahtera Niaga","9920627777052","ID","2015-06-29","54885","LT_300M","Jl. Dahlia No. 216","Denpasar","Bali","80111","ID","+628994110075","bus-00083@demo.example","ACTIVE"
"BUS-00084","UD Jaya Nusantara","Jaya Nusantara","9984075071330","ID","2025-08-28","72724","2_5B_50B","Jl. Flamboyan No. 38","Medan","Sumatera Utara","20111","ID","+628994209392","bus-00084@mailuji.example","ACTIVE"
"BUS-00085","Koperasi Sejahtera Digital","Sejahtera Digital","9990917703286","ID","2018-07-19","35146","LT_300M","Jl. Cempaka No. 141","Medan","Sumatera Utara","20111","ID","+628993699670","bus-00085@mailuji.example","ACTIVE"
"BUS-00086","Koperasi Mandiri Digital","Mandiri Digital","9924855788074","ID","2023-02-06","49528","GT_50B","Jl. Bougenville No. 164","Yogyakarta","DI Yogyakarta","55111","ID","+628997256179","bus-00086@demo.example","ACTIVE"
"BUS-00087","Koperasi Maju Utama","Maju Utama","9983849616078","ID","2024-07-09","47512","2_5B_50B","Jl. Flamboyan No. 93","Semarang","Jawa Tengah","50111","ID","+628999769751","bus-00087@mailuji.example","ACTIVE"
"BUS-00088","Koperasi Sinar Digital","Sinar Digital","9959736397528","ID","2017-08-12","18550","LT_300M","Jl. Dahlia No. 172","Surabaya","Jawa Timur","60111","ID","+628994941137","bus-00088@mailuji.example","ACTIVE"
"BUS-00089","UD Sentosa Logistik","Sentosa Logistik","9965071337054","ID","2019-06-18","55005","LT_300M","Jl. Mawar No. 21","Medan","Sumatera Utara","20111","ID","+628998978556","bus-00089@contoh.id","ACTIVE"
"BUS-00090","CV Sentosa Digital","Sentosa Digital","9939748480114","ID","2024-05-05","70841","2_5B_50B","Jl. Teratai No. 134","Palembang","Sumatera Selatan","30111","ID","+628992524648","bus-00090@demo.example","ACTIVE"
"BUS-00091","Koperasi Jaya Utama","Jaya Utama","9981107249754","ID","2014-01-10","60089","LT_300M","Jl. Mawar No. 2","Denpasar","Bali","80111","ID","+628999168088","bus-00091@contoh.id","ACTIVE"
"BUS-00092","PT Sinar Utama","Sinar Utama","9976584643870","ID","2024-03-28","19785","GT_50B","Jl. Anggrek No. 55","Medan","Sumatera Utara","20111","ID","+628993171689","bus-00092@surelsintetis.id","ACTIVE"
"BUS-00093","PT Abadi Bersama","Abadi Bersama","9970721958691","ID","2019-11-30","65649","GT_50B","Jl. Cempaka No. 32","Bandung","Jawa Barat","40111","ID","+628998313949","bus-00093@contoh.id","ACTIVE"
"BUS-00094","CV Sinar Niaga","Sinar Niaga","9967663877456","ID","2014-06-10","82534","2_5B_50B","Jl. Melati No. 128","Bandung","Jawa Barat","40111","ID","+628994534314","bus-00094@demo.example","ACTIVE"
"BUS-00095","CV Sentosa Nusantara","Sentosa Nusantara","9932299626782","ID","2023-03-29","25020","300M_2_5B","Jl. Bougenville No. 47","Denpasar","Bali","80111","ID","+628996628544","bus-00095@surelsintetis.id","CLOSED"
"BUS-00096","Koperasi Abadi Bersama","Abadi Bersama","9947016918151","ID","2024-12-08","99191","300M_2_5B","Jl. Mawar No. 191","Bandung","Jawa Barat","40111","ID","+628998924847","bus-00096@mailuji.example","ACTIVE"
"BUS-00097","Koperasi Sinar Digital","Sinar Digital","9914531682067","ID","2017-05-24","91306","300M_2_5B","Jl. Dahlia No. 38","Medan","Sumatera Utara","20111","ID","+628998419529","bus-00097@mailuji.example","ACTIVE"
"BUS-00098","CV Maju Nusantara","Maju Nusantara","9957250935401","ID","2024-02-18","12261","LT_300M","Jl. Cempaka No. 150","Makassar","Sulawesi Selatan","90111","ID","+628996329741","bus-00098@demo.example","ACTIVE"
"BUS-00099","UD Abadi Niaga","Abadi Niaga","9931050992680","ID","2013-10-28","31834","300M_2_5B","Jl. Bougenville No. 148","Palembang","Sumatera Selatan","30111","ID","+628998778574","bus-00099@surelsintetis.id","ACTIVE"
"BUS-00100","UD Mandiri Bersama","Mandiri Bersama","9933396545308","ID","2020-05-19","23012","GT_50B","Jl. Dahlia No. 85","Semarang","Jawa Tengah","50111","ID","+628999003300","bus-00100@surelsintetis.id","ACTIVE"
"BUS-00101","CV Maju Logistik","Maju Logistik","9978330185909","ID","2021-10-16","53729","2_5B_50B","Jl. Anggrek No. 238","Denpasar","Bali","80111","ID","+628992952432","bus-00101@mailuji.example","ACTIVE"
"BUS-00102","CV Lestari Utama","Lestari Utama","9928109855351","ID","2022-09-01","65222","300M_2_5B","Jl. Kenanga No. 211","Bandung","Jawa Barat","40111","ID","+628995552199","bus-00102@demo.example","ACTIVE"
"BUS-00103","PT Sentosa Nusantara","Sentosa Nusantara","9986687375198","ID","2013-11-07","50488","LT_300M","Jl. Anggrek No. 234","Medan","Sumatera Utara","20111","ID","+628996926729","bus-00103@surelsintetis.id","ACTIVE"
"BUS-00104","UD Jaya Bersama","Jaya Bersama","9917485977712","ID","2018-09-19","84555","2_5B_50B","Jl. Kenanga No. 168","Surabaya","Jawa Timur","60111","ID","+628999669607","bus-00104@demo.example","ACTIVE"
"BUS-00105","UD Sejahtera Nusantara","Sejahtera Nusantara","9982815788634","ID","2014-05-18","50978","LT_300M","Jl. Dahlia No. 18","Palembang","Sumatera Selatan","30111","ID","+628993439829","bus-00105@surelsintetis.id","ACTIVE"
"BUS-00106","CV Maju Bersama","Maju Bersama","9928965698044","ID","2013-01-07","81103","LT_300M","Jl. Anggrek No. 119","Semarang","Jawa Tengah","50111","ID","+628999341153","bus-00106@demo.example","ACTIVE"
"BUS-00107","CV Cemerlang Nusantara","Cemerlang Nusantara","9919080161557","ID","2013-12-31","79268","LT_300M","Jl. Dahlia No. 65","Bandung","Jawa Barat","40111","ID","+628995259182","bus-00107@demo.example","ACTIVE"
"BUS-00108","PT Makmur Nusantara","Makmur Nusantara","9978676827387","ID","2013-08-10","68432","GT_50B","Jl. Melati No. 74","Yogyakarta","DI Yogyakarta","55111","ID","+628992083478","bus-00108@demo.example","ACTIVE"
"BUS-00109","CV Harapan Perkasa","Harapan Perkasa","9983235045075","ID","2016-02-19","16314","LT_300M","Jl. Bougenville No. 194","Makassar","Sulawesi Selatan","90111","ID","+628999558526","bus-00109@surelsintetis.id","ACTIVE"
"BUS-00110","PT Jaya Bersama","Jaya Bersama","9970055002098","ID","2014-05-28","47257","GT_50B","Jl. Cempaka No. 190","Bandung","Jawa Barat","40111","ID","+628992916168","bus-00110@contoh.id","ACTIVE"
"BUS-00111","UD Maju Bersama","Maju Bersama","9957187861084","ID","2016-06-23","54768","2_5B_50B","Jl. Melati No. 208","Balikpapan","Kalimantan Timur","76111","ID","+628996504838","bus-00111@demo.example","CLOSED"
"BUS-00112","CV Lestari Digital","Lestari Digital","9914298101301","ID","2012-10-10","56685","LT_300M","Jl. Teratai No. 197","Denpasar","Bali","80111","ID","+628993989711","bus-00112@mailuji.example","ACTIVE"
"BUS-00113","UD Sentosa Perkasa","Sentosa Perkasa","9980997563855","ID","2017-06-06","54802","LT_300M","Jl. Melati No. 124","Surabaya","Jawa Timur","60111","ID","+628998651086","bus-00113@mailuji.example","ACTIVE"
"BUS-00114","UD Maju Perkasa","Maju Perkasa","9991781993093","ID","2014-04-05","12265","GT_50B","Jl. Mawar No. 119","Balikpapan","Kalimantan Timur","76111","ID","+628996399664","bus-00114@demo.example","ACTIVE"
"BUS-00115","UD Sentosa Nusantara","Sentosa Nusantara","9916090455142","ID","2024-08-17","88724","GT_50B","Jl. Kenanga No. 54","Makassar","Sulawesi Selatan","90111","ID","+628992954707","bus-00115@mailuji.example","ACTIVE"
"BUS-00116","Koperasi Harapan Nusantara","Harapan Nusantara","9945237595596","ID","2018-12-03","53515","GT_50B","Jl. Cempaka No. 83","Makassar","Sulawesi Selatan","90111","ID","+628996235445","bus-00116@mailuji.example","ACTIVE"
"BUS-00117","PT Abadi Perkasa","Abadi Perkasa","9918718247346","ID","2020-11-11","43976","LT_300M","Jl. Teratai No. 167","Medan","Sumatera Utara","20111","ID","+628992841630","bus-00117@surelsintetis.id","ACTIVE"
"BUS-00118","Koperasi Abadi Perkasa","Abadi Perkasa","9961188782321","ID","2016-03-25","34503","300M_2_5B","Jl. Dahlia No. 135","Makassar","Sulawesi Selatan","90111","ID","+628997868147","bus-00118@contoh.id","ACTIVE"
